Week,Apple
2015-01-18,22
2015-01-25,23
2015-02-01,21
2015-02-08,22
2015-02-15,22
2015-02-22,22
2015-03-01,23
2015-03-08,42
2015-03-15,27
2015-03-22,23
2015-03-29,23
2015-04-05,30
2015-04-12,26
2015-04-19,27
2015-04-26,28
2015-05-03,25
2015-05-10,25
2015-05-17,25
2015-05-24,25
2015-05-31,26
2015-06-07,30
2015-06-14,25
2015-06-21,27
2015-06-28,32
2015-07-05,28
2015-07-12,27
2015-07-19,28
2015-07-26,26
2015-08-02,27
2015-08-09,27
2015-08-16,27
2015-08-23,28
2015-08-30,27
2015-09-06,57
2015-09-13,35
2015-09-20,37
2015-09-27,33
2015-10-04,30
2015-10-11,29
2015-10-18,28
2015-10-25,29
2015-11-01,28
2015-11-08,28
2015-11-15,27
2015-11-22,35
2015-11-29,31
2015-12-06,30
2015-12-13,30
2015-12-20,39
2015-12-27,34
2016-01-03,28
2016-01-10,25
2016-01-17,25
2016-01-24,25
2016-01-31,24
2016-02-07,24
2016-02-14,27
2016-02-21,26
2016-02-28,24
2016-03-06,22
2016-03-13,23
2016-03-20,35
2016-03-27,27
2016-04-03,26
2016-04-10,24
2016-04-17,24
2016-04-24,27
2016-05-01,25
2016-05-08,24
2016-05-15,24
2016-05-22,24
2016-05-29,24
2016-06-05,24
2016-06-12,28
2016-06-19,25
2016-06-26,24
2016-07-03,24
2016-07-10,24
2016-07-17,24
2016-07-24,25
2016-07-31,26
2016-08-07,25
2016-08-14,25
2016-08-21,26
2016-08-28,27
2016-09-04,56
2016-09-11,38
2016-09-18,36
2016-09-25,32
2016-10-02,29
2016-10-09,28
2016-10-16,27
2016-10-23,32
2016-10-30,28
2016-11-06,26
2016-11-13,28
2016-11-20,41
2016-11-27,33
2016-12-04,30
2016-12-11,32
2016-12-18,36
2016-12-25,40
2017-01-01,29
2017-01-08,28
2017-01-15,25
2017-01-22,25
2017-01-29,25
2017-02-05,24
2017-02-12,24
2017-02-19,25
2017-02-26,24
2017-03-05,23
2017-03-12,23
2017-03-19,26
2017-03-26,25
2017-04-02,24
2017-04-09,24
2017-04-16,24
2017-04-23,24
2017-04-30,25
2017-05-07,25
2017-05-14,26
2017-05-21,24
2017-05-28,25
2017-06-04,31
2017-06-11,27
2017-06-18,27
2017-06-25,26
2017-07-02,26
2017-07-09,26
2017-07-16,26
2017-07-23,27
2017-07-30,28
2017-08-06,28
2017-08-13,28
2017-08-20,27
2017-08-27,27
2017-09-03,26
2017-09-10,55
2017-09-17,37
2017-09-24,34
2017-10-01,30
2017-10-08,29
2017-10-15,30
2017-10-22,32
2017-10-29,32
2017-11-05,34
2017-11-12,33
2017-11-19,45
2017-11-26,39
2017-12-03,35
2017-12-10,35
2017-12-17,41
2017-12-24,53
2017-12-31,37
2018-01-07,32
2018-01-14,31
2018-01-21,31
2018-01-28,30
2018-02-04,29
2018-02-11,29
2018-02-18,29
2018-02-25,28
2018-03-04,27
2018-03-11,27
2018-03-18,27
2018-03-25,29
2018-04-01,28
2018-04-08,27
2018-04-15,27
2018-04-22,26
2018-04-29,28
2018-05-06,27
2018-05-13,28
2018-05-20,27
2018-05-27,27
2018-06-03,31
2018-06-10,30
2018-06-17,28
2018-06-24,28
2018-07-01,28
2018-07-08,30
2018-07-15,30
2018-07-22,29
2018-07-29,33
2018-08-05,31
2018-08-12,30
2018-08-19,29
2018-08-26,29
2018-09-02,30
2018-09-09,53
2018-09-16,40
2018-09-23,38
2018-09-30,34
2018-10-07,32
2018-10-14,31
2018-10-21,30
2018-10-28,35
2018-11-04,32
2018-11-11,34
2018-11-18,49
2018-11-25,40
2018-12-02,36
2018-12-09,38
2018-12-16,40
2018-12-23,54
2018-12-30,39
2019-01-06,33
2019-01-13,31
2019-01-20,29
2019-01-27,31
2019-02-03,28
2019-02-10,28
2019-02-17,28
2019-02-24,28
2019-03-03,27
2019-03-10,27
2019-03-17,29
2019-03-24,34
2019-03-31,27
2019-04-07,27
2019-04-14,27
2019-04-21,27
2019-04-28,27
2019-05-05,27
2019-05-12,28
2019-05-19,28
2019-05-26,28
2019-06-02,35
2019-06-09,29
2019-06-16,29
2019-06-23,29
2019-06-30,28
2019-07-07,28
2019-07-14,31
2019-07-21,29
2019-07-28,30
2019-08-04,29
2019-08-11,30
2019-08-18,31
2019-08-25,52
2019-09-01,100
2019-09-08,95
2019-09-15,79
2019-09-22,57
2019-09-29,35
2019-10-06,33
2019-10-13,32
2019-10-20,30
2019-10-27,35
2019-11-03,35
2019-11-10,39
2019-11-17,37
2019-11-24,53
2019-12-01,44
2019-12-08,38
2019-12-15,39
2019-12-22,54
2019-12-29,38
2020-01-05,33
