Month,TDAmeritrade
2014-02,83
2014-03,77
2014-04,72
2014-05,60
2014-06,69
2014-07,68
2014-08,63
2014-09,60
2014-10,65
2014-11,58
2014-12,62
2015-01,62
2015-02,70
2015-03,64
2015-04,65
2015-05,52
2015-06,56
2015-07,60
2015-08,61
2015-09,49
2015-10,53
2015-11,47
2015-12,50
2016-01,48
2016-02,47
2016-03,50
2016-04,50
2016-05,41
2016-06,47
2016-07,46
2016-08,45
2016-09,40
2016-10,40
2016-11,46
2016-12,48
2017-01,52
2017-02,56
2017-03,56
2017-04,50
2017-05,48
2017-06,51
2017-07,47
2017-08,52
2017-09,47
2017-10,53
2017-11,54
2017-12,66
2018-01,82
2018-02,85
2018-03,98
2018-04,86
2018-05,82
2018-06,87
2018-07,81
2018-08,90
2018-09,88
2018-10,85
2018-11,70
2018-12,71
2019-01,85
2019-02,88
2019-03,84
2019-04,85
2019-05,72
2019-06,75
2019-07,80
2019-08,79
2019-09,67
2019-10,80
2019-11,84
2019-12,80
2020-01,100
