Week,TDAmeritrade
2015-01-18,49
2015-01-25,56
2015-02-01,60
2015-02-08,59
2015-02-15,56
2015-02-22,60
2015-03-01,58
2015-03-08,53
2015-03-15,55
2015-03-22,54
2015-03-29,54
2015-04-05,60
2015-04-12,60
2015-04-19,54
2015-04-26,50
2015-05-03,48
2015-05-10,47
2015-05-17,45
2015-05-24,39
2015-05-31,46
2015-06-07,45
2015-06-14,45
2015-06-21,51
2015-06-28,47
2015-07-05,50
2015-07-12,52
2015-07-19,51
2015-07-26,49
2015-08-02,48
2015-08-09,49
2015-08-16,48
2015-08-23,73
2015-08-30,49
2015-09-06,39
2015-09-13,42
2015-09-20,38
2015-09-27,40
2015-10-04,48
2015-10-11,42
2015-10-18,43
2015-10-25,46
2015-11-01,46
2015-11-08,40
2015-11-15,40
2015-11-22,33
2015-11-29,41
2015-12-06,39
2015-12-13,42
2015-12-20,38
2015-12-27,38
2016-01-03,45
2016-01-10,40
2016-01-17,41
2016-01-24,43
2016-01-31,42
2016-02-07,41
2016-02-14,40
2016-02-21,39
2016-02-28,45
2016-03-06,44
2016-03-13,42
2016-03-20,37
2016-03-27,43
2016-04-03,43
2016-04-10,45
2016-04-17,43
2016-04-24,38
2016-05-01,36
2016-05-08,35
2016-05-15,35
2016-05-22,35
2016-05-29,31
2016-06-05,37
2016-06-12,35
2016-06-19,42
2016-06-26,46
2016-07-03,36
2016-07-10,42
2016-07-17,42
2016-07-24,40
2016-07-31,41
2016-08-07,39
2016-08-14,38
2016-08-21,35
2016-08-28,34
2016-09-04,31
2016-09-11,33
2016-09-18,35
2016-09-25,35
2016-10-02,33
2016-10-09,32
2016-10-16,33
2016-10-23,40
2016-10-30,36
2016-11-06,44
2016-11-13,41
2016-11-20,34
2016-11-27,38
2016-12-04,44
2016-12-11,44
2016-12-18,39
2016-12-25,37
2017-01-01,46
2017-01-08,44
2017-01-15,38
2017-01-22,48
2017-01-29,48
2017-02-05,45
2017-02-12,49
2017-02-19,44
2017-02-26,57
2017-03-05,46
2017-03-12,45
2017-03-19,42
2017-03-26,42
2017-04-02,45
2017-04-09,42
2017-04-16,43
2017-04-23,44
2017-04-30,46
2017-05-07,42
2017-05-14,41
2017-05-21,39
2017-05-28,37
2017-06-04,40
2017-06-11,41
2017-06-18,43
2017-06-25,41
2017-07-02,35
2017-07-09,40
2017-07-16,42
2017-07-23,44
2017-07-30,48
2017-08-06,44
2017-08-13,43
2017-08-20,39
2017-08-27,42
2017-09-03,33
2017-09-10,43
2017-09-17,44
2017-09-24,42
2017-10-01,45
2017-10-08,45
2017-10-15,44
2017-10-22,45
2017-10-29,50
2017-11-05,45
2017-11-12,44
2017-11-19,38
2017-11-26,52
2017-12-03,54
2017-12-10,57
2017-12-17,60
2017-12-24,58
2017-12-31,71
2018-01-07,71
2018-01-14,60
2018-01-21,72
2018-01-28,70
2018-02-04,80
2018-02-11,66
2018-02-18,54
2018-02-25,100
2018-03-04,90
2018-03-11,82
2018-03-18,81
2018-03-25,79
2018-04-01,80
2018-04-08,78
2018-04-15,75
2018-04-22,67
2018-04-29,66
2018-05-06,73
2018-05-13,70
2018-05-20,69
2018-05-27,59
2018-06-03,76
2018-06-10,75
2018-06-17,74
2018-06-24,68
2018-07-01,58
2018-07-08,70
2018-07-15,66
2018-07-22,78
2018-07-29,76
2018-08-05,73
2018-08-12,70
2018-08-19,73
2018-08-26,80
2018-09-02,76
2018-09-09,76
2018-09-16,79
2018-09-23,75
2018-09-30,74
2018-10-07,73
2018-10-14,71
2018-10-21,66
2018-10-28,68
2018-11-04,63
2018-11-11,58
2018-11-18,48
2018-11-25,60
2018-12-02,59
2018-12-09,59
2018-12-16,61
2018-12-23,64
2018-12-30,69
2019-01-06,73
2019-01-13,70
2019-01-20,63
2019-01-27,73
2019-02-03,75
2019-02-10,76
2019-02-17,69
2019-02-24,74
2019-03-03,68
2019-03-10,75
2019-03-17,76
2019-03-24,68
2019-03-31,76
2019-04-07,73
2019-04-14,65
2019-04-21,69
2019-04-28,67
2019-05-05,65
2019-05-12,63
2019-05-19,57
2019-05-26,51
2019-06-02,67
2019-06-09,63
2019-06-16,70
2019-06-23,65
2019-06-30,61
2019-07-07,67
2019-07-14,66
2019-07-21,71
2019-07-28,66
2019-08-04,71
2019-08-11,68
2019-08-18,63
2019-08-25,60
2019-09-01,54
2019-09-08,63
2019-09-15,56
2019-09-22,54
2019-09-29,75
2019-10-06,62
2019-10-13,61
2019-10-20,63
2019-10-27,66
2019-11-03,71
2019-11-10,65
2019-11-17,85
2019-11-24,73
2019-12-01,66
2019-12-08,67
2019-12-15,74
2019-12-22,66
2019-12-29,80
2020-01-05,82
2020-01-12,85
