Month,Starbucks
2004-01,22
2004-02,23
2004-03,23
2004-04,23
2004-05,23
2004-06,24
2004-07,26
2004-08,24
2004-09,24
2004-10,25
2004-11,27
2004-12,29
2005-01,26
2005-02,25
2005-03,25
2005-04,26
2005-05,26
2005-06,27
2005-07,28
2005-08,28
2005-09,26
2005-10,28
2005-11,29
2005-12,32
2006-01,30
2006-02,28
2006-03,29
2006-04,29
2006-05,28
2006-06,29
2006-07,29
2006-08,31
2006-09,30
2006-10,31
2006-11,32
2006-12,34
2007-01,32
2007-02,30
2007-03,32
2007-04,29
2007-05,29
2007-06,30
2007-07,30
2007-08,31
2007-09,31
2007-10,32
2007-11,35
2007-12,36
2008-01,34
2008-02,34
2008-03,31
2008-04,33
2008-05,32
2008-06,31
2008-07,39
2008-08,29
2008-09,30
2008-10,31
2008-11,37
2008-12,33
2009-01,32
2009-02,29
2009-03,28
2009-04,29
2009-05,28
2009-06,27
2009-07,30
2009-08,28
2009-09,29
2009-10,30
2009-11,31
2009-12,33
2010-01,31
2010-02,29
2010-03,29
2010-04,32
2010-05,31
2010-06,30
2010-07,33
2010-08,35
2010-09,35
2010-10,36
2010-11,43
2010-12,44
2011-01,45
2011-02,37
2011-03,41
2011-04,40
2011-05,42
2011-06,40
2011-07,40
2011-08,42
2011-09,43
2011-10,44
2011-11,51
2011-12,51
2012-01,47
2012-02,45
2012-03,45
2012-04,45
2012-05,47
2012-06,45
2012-07,47
2012-08,47
2012-09,52
2012-10,51
2012-11,57
2012-12,61
2013-01,49
2013-02,48
2013-03,52
2013-04,50
2013-05,56
2013-06,53
2013-07,53
2013-08,54
2013-09,56
2013-10,56
2013-11,65
2013-12,64
2014-01,54
2014-02,55
2014-03,55
2014-04,59
2014-05,62
2014-06,56
2014-07,57
2014-08,56
2014-09,58
2014-10,57
2014-11,68
2014-12,72
2015-01,59
2015-02,57
2015-03,59
2015-04,63
2015-05,67
2015-06,63
2015-07,64
2015-08,64
2015-09,65
2015-10,65
2015-11,89
2015-12,79
2016-01,67
2016-02,63
2016-03,62
2016-04,66
2016-05,74
2016-06,71
2016-07,70
2016-08,65
2016-09,69
2016-10,65
2016-11,77
2016-12,85
2017-01,73
2017-02,70
2017-03,68
2017-04,88
2017-05,79
2017-06,74
2017-07,76
2017-08,75
2017-09,77
2017-10,74
2017-11,80
2017-12,85
2018-01,73
2018-02,67
2018-03,72
2018-04,85
2018-05,78
2018-06,75
2018-07,76
2018-08,80
2018-09,80
2018-10,76
2018-11,86
2018-12,91
2019-01,77
2019-02,77
2019-03,77
2019-04,81
2019-05,97
2019-06,85
2019-07,87
2019-08,89
2019-09,89
2019-10,84
2019-11,95
2019-12,100
2020-01,87
